artist,sale_year,sale_location,sale_price_adj,low_est_adj,high_est_adj,performance
Peter Doig,2015,New York,316042.73533122096,215728.82957762523,323593.24436643784,1.4649999999320906
Richard Prince,2015,New York,1235047.5493319044,1078644.147888126,1617966.2218321892,1.1449999999893847
Marilyn Minter,2015,New York,290155.2757819059,323593.24436643784,539322.073944063,0.8966666666389569
Guyton\Walker,2015,New York,0.0,97077.97330993136,129437.29774657515,0.0
Kelley Walker,2015,New York,107864.41478881262,86291.53183105009,129437.29774657515,1.2499999998551423
Mathias Bengtsson,2015,New York,64718.64887328757,32359.324436643787,43145.765915525044,1.9999999993819402
Alex Hubbard,2015,New York,67415.25924300788,64718.64887328757,86291.53183105009,1.0416666665057135
Dan Flavin,2015,New York,0.0,161796.62218321892,269661.0369720315,0.0
Dan Rees,2015,New York,80898.31109160946,64718.64887328757,86291.53183105009,1.249999999806856
Kenneth Noland,2015,New York,0.0,161796.62218321892,269661.0369720315,0.0
Carl Andre,2015,New York,107864.41478881262,107864.41478881262,161796.62218321892,0.9999999999072909
Sturtevant,2015,New York,341930.194880536,161796.62218321892,215728.82957762523,2.113333333202717
Sturtevant,2015,New York,87639.83701591025,32359.324436643787,43145.765915525044,2.708333332496377
Haim Steinbach,2015,New York,74156.78516730867,64718.64887328757,86291.53183105009,1.1458333331562847
Luc Tuymans,2015,New York,328986.4651058785,323593.24436643784,539322.073944063,1.0166666666352486
Marc Newson,2015,New York,193077.30247197457,64718.64887328757,86291.53183105009,2.983333332872363
Franz West,2015,New York,0.0,75505.09035216883,107864.41478881262,0.0
Martin Kippenberger,2015,New York,43145.765915525044,43145.765915525044,64718.64887328757,0.9999999997682275
Niki de Saint Phalle,2015,New York,94381.36294021104,64718.64887328757,86291.53183105009,1.4583333331079988
Tom Wesselmann,2015,New York,419592.57352848107,377525.45176084415,593254.2813384694,1.1114285713991314
Keith Haring,2015,New York,264267.81623259094,129437.29774657515,194155.94661986272,2.0416666665089327
Jack Pierson,2015,New York,114605.9407131134,86291.53183105009,129437.29774657515,1.3281249998460887
Mark Flood,2015,New York,47190.68147010552,43145.765915525044,64718.64887328757,1.0937499997464988
Christian Rosa,2015,New York,94381.36294021104,43145.765915525044,64718.64887328757,2.1874999994929976
Thomas Heatherwick,2015,New York,121347.4666374142,64718.64887328757,86291.53183105009,1.8749999997102842
Ryan Sullivan,2015,New York,53932.20739440631,53932.20739440631,75505.09035216883,0.999999999814582
Thomas Houseago,2015,New York,87639.83701591025,64718.64887328757,86291.53183105009,1.3541666664574274
Oscar Tuazon,2015,New York,67415.25924300788,53932.20739440631,75505.09035216883,1.2499999997682274
Rashid Johnson,2015,New York,87639.83701591025,86291.53183105009,129437.29774657515,1.015624999882303
Franz West,2015,New York,87639.83701591025,64718.64887328757,86291.53183105009,1.3541666664574274
John Waters,2007,New York,7398.124837225453,6165.104031021211,8631.145643429696,1.199999998053561
